trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.3, 'e': 0.09578262852211514}",25,11,15.67645816488135,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.3, 'e': 0.09534625892455924}",25,0,-30.67712569921619,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
111,False,"{'a': 0.3, 'e': 0.0949157995752499}",20,9,12.226540672519691,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.3, 'e': 0.0944911182523068}",30,0,-28.330495807548196,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
113,False,"{'a': 0.3, 'e': 0.09407208683835973}",20,0,14.842040825247931,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.3, 'e': 0.0936585811581694}",25,14,9.339012152642198,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.3, 'e': 0.09325048082403138}",20,0,11.210462376943385,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.3, 'e': 0.09284766908852593}",25,10,12.596333126905996,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.09245003270420485}",20,4,-80.47687894611383,"{0: 12, 1: 0, 2: 0, 3: 3, 4: 1}",1
118,False,"{'a': 0.3, 'e': 0.09205746178983235}",20,0,29.868043358167693,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.3, 'e': 0.09166984970282113}",25,0,25.350635591930672,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.3, 'e': 0.09128709291752768}",25,8,25.235689294427885,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.3, 'e': 0.09090909090909091}",20,0,-3.652064608452843,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
122,False,"{'a': 0.3, 'e': 0.09053574604251853}",25,0,-48.97123731247386,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
123,False,"{'a': 0.3, 'e': 0.09016696346674323}",20,5,-36.25357357137721,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.3, 'e': 0.08980265101338746}",30,0,4.222589025609546,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
125,False,"{'a': 0.3, 'e': 0.08944271909999159}",30,0,-49.11916522923872,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
126,False,"{'a': 0.3, 'e': 0.0890870806374748}",25,0,5.60696217005179,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
127,False,"{'a': 0.3, 'e': 0.08873565094161139}",20,12,13.622084639482777,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.3, 'e': 0.08838834764831843}",20,10,-4.904086702150258,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.08804509063256238}",20,8,13.063477972719575,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.3, 'e': 0.08770580193070293}",20,13,11.964529083143434,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.3, 'e': 0.0873704056661038}",25,13,-24.303776889425947,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.3, 'e': 0.08703882797784893}",25,10,21.07019186996452,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.086710996952412}",35,2,35.74069755533108,"{0: 31, 1: 1, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.3, 'e': 0.08638684255813601}",30,14,30.26936066955148,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.3, 'e': 0.08606629658238704}",20,5,26.632924561135226,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.08574929257125441}",20,1,11.784066441465585,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.3, 'e': 0.0854357657716761}",25,11,1.5536310745091755,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.3, 'e': 0.08512565307587486}",25,0,8.16020200727828,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.3, 'e': 0.08481889296799709}",25,0,-6.7100718841203975,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
140,False,"{'a': 0.3, 'e': 0.08451542547285165}",20,1,-58.4214463941141,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
141,False,"{'a': 0.3, 'e': 0.0842151921066519}",20,0,17.84946883724785,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
142,False,"{'a': 0.3, 'e': 0.08391813582966891}",25,17,8.189314249367326,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.3, 'e': 0.08362420100070908}",20,4,7.985171260998034,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.3, 'e': 0.08333333333333333}",20,0,22.54437418513609,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.3, 'e': 0.08304547985373997}",25,0,19.90356844609866,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.3, 'e': 0.0827605888602368}",20,9,21.191093622985168,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.3, 'e': 0.08247860988423225}",25,11,11.153337020859459,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.3, 'e': 0.08219949365267865}",20,10,-22.615852700296415,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.3, 'e': 0.08192319205190406}",25,0,8.242958109178915,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
