trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.3, 'e': 0.08770580193070293}",25,18,16.197783492445474,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.3, 'e': 0.0873704056661038}",25,3,-30.021725889792204,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
132,False,"{'a': 0.3, 'e': 0.08703882797784893}",25,15,-24.910186021275198,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.3, 'e': 0.086710996952412}",30,13,-32.26151004235708,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
134,False,"{'a': 0.3, 'e': 0.08638684255813601}",20,5,10.377630825566603,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.3, 'e': 0.08606629658238704}",20,0,9.341530582236786,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.08574929257125441}",20,3,14.860313356674665,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.3, 'e': 0.0854357657716761}",20,0,-15.955727542886699,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
138,False,"{'a': 0.3, 'e': 0.08512565307587486}",20,6,21.037696094406986,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.3, 'e': 0.08481889296799709}",25,0,-9.383971455910778,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
140,False,"{'a': 0.3, 'e': 0.08451542547285165}",25,7,-11.520682386746708,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.3, 'e': 0.0842151921066519}",30,12,23.97960281203608,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.3, 'e': 0.08391813582966891}",25,0,3.784483886136866,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
143,False,"{'a': 0.3, 'e': 0.08362420100070908}",25,9,-28.789284729288543,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
144,False,"{'a': 0.3, 'e': 0.08333333333333333}",25,16,8.42713603396676,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.3, 'e': 0.08304547985373997}",25,7,-62.4246031158045,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
146,False,"{'a': 0.3, 'e': 0.0827605888602368}",30,0,44.60301235473857,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.3, 'e': 0.08247860988423225}",30,10,-10.279136963639504,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.3, 'e': 0.08219949365267865}",30,8,25.708421674355908,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.3, 'e': 0.08192319205190406}",20,0,11.133227403504982,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.3, 'e': 0.08164965809277261}",30,16,24.491976494322476,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.3, 'e': 0.08137884587711594}",25,7,22.136623983054672,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.3, 'e': 0.08111071056538127}",20,0,26.948522407447836,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
